DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.0m),Dir#1(2.0m),Speed#2(3.5m),Dir#2(3.5m),Speed#3(5.0m),Dir#3(5.0m),Speed#4(6.5m),Dir#4(6.5m),Speed#5(8.0m),Dir#5(8.0m),Speed#6(9.5m),Dir#6(9.5m),Speed#7(11.0m),Dir#7(11.0m),Speed#8(12.5m),Dir#8(12.5m),Speed#9(14.0m),Dir#9(14.0m),Speed#10(15.5m),Dir#10(15.5m),Speed#11(17.0m),Dir#11(17.0m),Speed#12(18.5m),Dir#12(18.5m),Speed#13(20.0m),Dir#13(20.0m),
3/29/2007 04:00:00, 11.9,142.6,  4.3, -6.8, 16.822, 27.00,  0.0,  0.0,  0.045, 202.04,  0.026,  85.60,  0.014, 123.69,  0.036,  22.99,  0.061, 326.31,  0.049, 266.50,  0.034, 278.37,  0.035, 100.01,  0.062, 103.13,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 05:00:00, 11.9,142.8,  4.3, -6.7, 16.856, 27.00,  0.0,  0.0,  0.048,  35.68,  0.034, 305.54,  0.042,  44.03,  0.027,   6.34,  0.021,  87.27,  0.024, 146.98,  0.030,  61.70,  0.048, 136.68,  0.078, 142.25,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 06:00:00, 11.9,142.7,  4.3, -6.7, 16.859, 27.01,  0.0,  0.0,  0.078, 171.14,  0.047, 183.65,  0.003, 108.43,  0.036, 355.24,  0.009, 324.46,  0.046,  62.88,  0.071,  17.93,  0.033,  81.38,  0.041, 164.25,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 07:00:00, 11.9,142.8,  4.3, -6.7, 16.879, 27.00,  0.0,  0.0,  0.031, 279.16,  0.040, 236.31,  0.007, 285.95,  0.046, 116.00,  0.034, 153.43,  0.023, 187.43,  0.027, 208.44,  0.016, 145.30,  0.023, 172.57,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 08:00:00, 11.9,142.7,  4.3, -6.8, 16.874, 27.05,  0.0,  0.0,  0.038,  47.12,  0.014, 252.90,  0.021, 357.27,  0.021,  45.00,  0.017, 329.04,  0.016, 341.57,  0.009, 270.00,  0.040, 180.00,  0.100, 153.18,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 09:00:00, 11.9,142.7,  4.3, -6.8, 16.851, 27.08,  0.0,  0.0,  0.015, 301.61,  0.028, 222.14,  0.039, 194.74,  0.005, 143.13,  0.020, 333.43,  0.039, 316.04,  0.053, 248.81,  0.036, 237.65,  0.021,  10.78,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 10:00:00, 11.9,142.8,  4.3, -6.7, 16.841, 27.09,  0.0,  0.0,  0.011, 270.00,  0.001, 270.00,  0.061, 187.59,  0.023, 167.20,  0.020, 270.00,  0.027, 138.01,  0.028, 230.71,  0.061, 152.59,  0.059, 163.11,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 11:00:00, 11.9,142.7,  4.3, -6.8, 16.796, 27.09,  0.0,  0.0,  0.046, 166.26,  0.009, 122.01,  0.077,  51.34,  0.046,  62.88,  0.030, 348.31,  0.034,   0.00,  0.057, 329.38,  0.009, 282.53,  0.038, 181.51,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 12:00:00, 11.9,142.7,  4.3, -6.8, 16.761, 27.11,  0.0,  0.0,  0.010, 180.00,  0.031, 137.60,  0.041,  78.69,  0.048, 130.73,  0.045, 173.66,  0.053, 175.68,  0.008, 209.74,  0.046, 287.65,  0.025,   6.84,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 13:00:00, 11.9,142.7,  4.3, -6.8, 16.737, 27.11,  0.0,  0.0,  0.037, 223.92,  0.016, 194.93,  0.025, 208.61,  0.014, 270.00,  0.043, 251.15,  0.031, 218.37,  0.040, 227.05,  0.036, 258.69,  0.021, 129.09,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
