DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m)
5/26/2016 17:00,11.9,217.4,7.2,9.7,19.613,28.85,0,0,0.081,194.38,0.084,191.71,0.105,179.45,0.097,181.77,0.104,183.3,0.067,219.59,0.104,283.37,0.278,347.11,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/26/2016 18:00,11.9,217.4,7.2,9.7,19.598,28.28,0,0,0.102,170.45,0.089,167.05,0.083,186.19,0.046,198.82,0.005,270,0.055,288.1,0.079,307.3,0.239,344.74,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/26/2016 19:00,11.9,217.4,7.2,9.7,19.573,28.29,0,0,0.003,251.57,0.011,201.8,0.034,176.63,0.045,112.04,0.022,174.81,0.049,355.33,0.092,324.25,0.27,342.98,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/26/2016 20:00,11.9,217.3,7.2,9.7,19.561,28.29,0,0,0.047,311.53,0.021,305.22,0.029,330.75,0.044,306.61,0.053,344.65,0.077,348.84,0.082,311.05,0.186,334.54,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/26/2016 21:00,11.9,217.3,7.2,9.7,19.548,28.28,0,0,0.083,332.82,0.091,357.48,0.112,10.3,0.053,356.76,0.047,337.29,0.082,336.89,0.098,350.63,0.234,343.58,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/26/2016 22:00,11.9,217.3,7.2,9.7,19.57,28.27,0,0,0.055,338.59,0.077,354.07,0.044,344.05,0.072,17.68,0.053,325.71,0.034,22.75,0.091,331.74,0.247,335.61,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/26/2016 23:00,11.9,217.3,7.2,9.7,19.623,28.27,0,0,0.066,0.87,0.051,340.5,0.03,240.02,0.014,158.96,0.023,175.03,0.022,82.23,0.051,315,0.094,355.14,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 0:00,11.9,217.3,7.1,9.7,19.669,28.24,0,0,0.095,42.44,0.053,104.3,0.023,260.13,0.017,331.93,0.015,270,0.028,230.71,0.106,285.87,0.091,329.79,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 1:00,11.9,217.3,7.1,9.7,19.731,28.17,0,0,0.062,164.18,0.06,174.29,0.048,159.3,0.044,91.3,0.004,123.69,0.021,142.59,0.027,235.71,0.089,323.26,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 2:00,11.9,217.3,7.1,9.7,19.781,28.16,0,0,0.098,184.67,0.106,151.74,0.097,155.56,0.079,188.03,0.05,163.74,0.055,180,0.074,223.9,0.044,287.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 3:00,11.9,217.3,7.1,9.7,19.813,28.18,0,0,0.077,167.96,0.122,120.96,0.128,149.04,0.118,160.18,0.122,164.25,0.069,160.51,0.018,202.38,0.04,341.11,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 4:00,11.9,217.3,7.1,9.7,19.84,28.19,0,0,0.063,173.66,0.099,185.83,0.082,144.95,0.134,170.96,0.106,183.24,0.119,191.59,0.087,227.33,0.03,248.55,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
