DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),
8/22/2008 07:00:00, 11.8,165.7,  5.2, -0.7, 16.696, 29.30,  0.0,  0.0,  0.069, 203.96,  0.028, 280.12,  0.019, 101.89,  0.045, 263.66,  0.022,  56.31,  0.065, 161.00,  0.085, 128.35,  0.007, 195.95,  0.022,   0.00,  0.028, 184.09,  0.040, 124.88,  0.044, 127.65,  0.044, 148.13,  0.161, 206.09,-99.000, -99.00,
8/22/2008 08:00:00, 11.8,165.9,  5.3, -0.8, 16.730, 29.28,  0.0,  0.0,  0.048, 267.61,  0.008, 345.96,  0.119, 255.85,  0.089, 264.86,  0.123, 271.40,  0.039, 250.64,  0.015, 222.27,  0.051, 202.01,  0.025, 173.16,  0.031, 180.00,  0.093, 136.31,  0.084, 139.33,  0.089, 134.09,  0.059, 160.02,-99.000, -99.00,
8/22/2008 09:00:00, 11.8,165.8,  5.3, -0.8, 16.762, 29.27,  0.0,  0.0,  0.129, 239.26,  0.008, 270.00,  0.070, 201.04,  0.043, 244.03,  0.010, 330.95,  0.006, 288.43,  0.029,  99.78,  0.065, 292.62,  0.031, 262.65,  0.011, 236.31,  0.056, 185.10,  0.043, 127.41,  0.025, 154.44,  0.114, 216.47,-99.000, -99.00,
8/22/2008 10:00:00, 11.8,165.8,  5.3, -0.7, 16.815, 29.32,  0.0,  0.0,  0.055, 206.10,  0.029,  82.15,  0.045, 222.27,  0.077, 219.24,  0.087, 141.03,  0.066, 172.12,  0.084, 176.59,  0.128, 155.63,  0.102, 139.76,  0.028, 120.26,  0.025,  43.36,  0.038, 257.80,  0.059, 177.09,  0.082, 194.04,-99.000, -99.00,
8/22/2008 11:00:00, 11.8,165.9,  5.2, -0.8, 16.854, 29.37,  0.0,  0.0,  0.062, 219.81,  0.044, 212.97,  0.030, 273.81,  0.024,  34.99,  0.046,   7.43,  0.037,  51.58,  0.040,  90.00,  0.051, 122.12,  0.066, 101.31,  0.063, 127.95,  0.045, 135.91,  0.042, 137.91,  0.017, 193.24,  0.089, 255.65,-99.000, -99.00,
8/22/2008 12:00:00, 11.8,165.8,  5.3, -0.8, 16.912, 29.20,  0.0,  0.0,  0.078, 181.47,  0.009, 212.01,  0.053, 197.42,  0.028, 112.93,  0.030,  86.19,  0.079, 236.92,  0.062, 156.32,  0.027,  33.11,  0.035, 248.50,  0.064, 176.42,  0.045, 173.66,  0.022, 182.60,  0.031, 127.23,  0.108, 208.69,-99.000, -99.00,
8/22/2008 13:00:00, 11.8,165.9,  5.2, -0.7, 16.940, 29.16,  0.0,  0.0,  0.027, 340.20,  0.058,  57.68,  0.050, 333.95,  0.010, 270.00,  0.057,  54.34,  0.012,  34.99,  0.015,  78.69,  0.058, 204.36,  0.054, 249.57,  0.008, 246.80,  0.064, 163.56,  0.059, 146.85,  0.050, 157.56,  0.040, 237.09,-99.000, -99.00,
8/22/2008 14:00:00, 11.8,165.9,  5.2, -0.8, 16.943, 29.18,  0.0,  0.0,  0.068,  49.76,  0.033, 336.57,  0.042, 321.77,  0.034, 348.02,  0.002, 243.43,  0.057, 282.09,  0.017, 208.07,  0.024, 170.54,  0.052, 157.38,  0.019, 198.43,  0.036, 102.88,  0.032,   8.88,  0.038, 270.00,  0.126, 210.03,-99.000, -99.00,
8/22/2008 15:00:00, 11.8,166.0,  5.3, -0.8, 16.940, 29.20,  0.0,  0.0,  0.047, 205.46,  0.023, 270.00,  0.012, 235.01,  0.016, 225.00,  0.020,  36.87,  0.023,  59.04,  0.039, 268.53,  0.054,  17.10,  0.099,  66.27,  0.073,  29.36,  0.062,  74.18,  0.048,  24.44,  0.046,  47.64,  0.068, 193.63,-99.000, -99.00,
8/22/2008 16:00:00, 11.8,165.8,  5.3, -0.7, 16.906, 29.23,  0.0,  0.0,  0.088,  53.78,  0.049,   9.46,  0.025,  56.31,  0.033, 347.66,  0.069, 100.01,  0.062,  87.23,  0.074, 126.25,  0.087, 103.24,  0.094,  89.39,  0.053, 102.99,  0.062,  70.10,  0.001,   0.00,  0.044, 198.43,  0.136, 210.89,-99.000, -99.00,
8/22/2008 17:00:00, 11.8,165.9,  5.2, -0.7, 16.879, 29.24,  0.0,  0.0,  0.027,  15.07,  0.072,  39.40,  0.044,  13.09,  0.075,  24.51,  0.137,  61.76,  0.070, 109.98,  0.030, 225.00,  0.058, 338.75,  0.014, 252.90,  0.024, 172.87,  0.088, 171.50,  0.096, 162.32,  0.046, 147.34,  0.059, 212.62,-99.000, -99.00,
8/22/2008 18:00:00, 11.8,165.9,  5.3, -0.8, 16.842, 29.22,  0.0,  0.0,  0.166, 222.55,  0.004, 123.69,  0.036, 260.27,  0.057, 267.99,  0.013, 311.99,  0.073, 210.43,  0.026, 210.58,  0.028, 212.01,  0.012, 255.96,  0.046, 148.39,  0.097,  98.30,  0.089,  99.67,  0.070, 119.13,  0.165, 211.38,-99.000, -99.00,
8/22/2008 19:00:00, 11.8,165.8,  5.2, -0.8, 16.816, 29.31,  0.0,  0.0,  0.032,  73.81,  0.040, 184.29,  0.006, 279.46,  0.020, 212.91,  0.050, 177.71,  0.007,  90.00,  0.069, 267.51,  0.010, 168.69,  0.033, 165.96,  0.041, 201.54,  0.031, 146.82,  0.044, 140.53,  0.078, 128.20,  0.161, 196.63,-99.000, -99.00,
8/22/2008 20:00:00, 11.8,166.0,  5.2, -0.8, 16.795, 29.38,  0.0,  0.0,  0.069, 158.66,  0.008, 345.96,  0.100, 233.13,  0.076, 225.54,  0.024, 135.00,  0.050,  94.57,  0.031, 166.87,  0.067, 143.47,  0.039, 199.36,  0.050, 175.43,  0.062, 144.78,  0.071, 157.75,  0.069, 146.77,  0.121, 173.35,-99.000, -99.00,
8/22/2008 21:00:00, 11.8,165.8,  5.2, -0.8, 16.787, 29.41,  0.0,  0.0,  0.083, 213.69,  0.016, 248.20,  0.066, 138.08,  0.024, 218.29,  0.019,  38.66,  0.006,  90.00,  0.053,  90.00,  0.082,  99.81,  0.117, 112.17,  0.113, 100.21,  0.087, 148.13,  0.112, 173.32,  0.036, 173.66,  0.139, 214.72,-99.000, -99.00,
8/22/2008 22:00:00, 11.8,165.8,  5.2, -0.7, 16.780, 29.43,  0.0,  0.0,  0.061,  36.30,  0.070, 273.27,  0.071, 276.43,  0.060, 268.09,  0.016, 227.49,  0.038,   7.50,  0.052, 253.30,  0.043, 132.18,  0.037, 156.19,  0.061, 171.47,  0.055, 165.20,  0.100, 124.01,  0.108, 149.86,  0.166, 195.71,-99.000, -99.00,
8/22/2008 23:00:00, 11.8,165.8,  5.2, -0.8, 16.776, 29.44,  0.0,  0.0,  0.074, 249.35,  0.060, 230.44,  0.069, 195.04,  0.031, 264.47,  0.053, 298.01,  0.025, 211.76,  0.023,  37.87,  0.049, 194.04,  0.090, 184.45,  0.075, 118.61,  0.080, 120.72,  0.087, 108.85,  0.069, 126.21,  0.123, 220.04,-99.000, -99.00,
8/23/2008 00:00:00, 11.8,165.8,  5.2, -0.8, 16.764, 29.37,  0.0,  0.0,  0.084, 334.65,  0.024, 289.18,  0.084, 320.81,  0.019, 242.10,  0.034, 348.02,  0.011, 243.43,  0.020, 220.91,  0.046,  91.25,  0.036, 162.07,  0.054, 111.80,  0.051, 150.95,  0.048, 156.64,  0.016, 129.81,  0.106, 201.00,-99.000, -99.00,
8/23/2008 01:00:00, 11.8,165.9,  5.3, -0.7, 16.738, 29.30,  0.0,  0.0,  0.053, 291.19,  0.055,  36.87,  0.063,  64.65,  0.059, 207.00,  0.049, 270.00,  0.035, 266.73,  0.039, 302.47,  0.023,  12.80,  0.060, 105.42,  0.035,  49.57,  0.054, 105.07,  0.079, 104.74,  0.051, 127.78,  0.164, 214.56,-99.000, -99.00,
8/23/2008 02:00:00, 11.8,165.8,  5.2, -0.8, 16.708, 29.31,  0.0,  0.0,  0.037,  49.40,  0.110,  54.58,  0.022, 275.19,  0.079,  73.16,  0.074, 132.27,  0.076, 101.46,  0.044, 110.10,  0.044,  10.54,  0.040,  20.73,  0.040,  38.88,  0.012, 250.02,  0.043, 241.07,  0.066, 179.13,  0.143, 217.59,-99.000, -99.00,
8/23/2008 03:00:00, 11.8,165.9,  5.2, -0.7, 16.689, 29.35,  0.0,  0.0,  0.045, 270.00,  0.059, 347.37,  0.069, 144.46,  0.033, 144.87,  0.048, 236.98,  0.047, 112.71,  0.027, 100.49,  0.011, 354.81,  0.027,  15.07,  0.012, 199.98,  0.016,  75.07,  0.037, 242.74,  0.054, 233.97,  0.056, 236.59,-99.000, -99.00,
8/23/2008 04:00:00, 11.8,165.8,  5.2, -0.7, 16.672, 29.34,  0.0,  0.0,  0.028, 343.50,  0.049, 255.68,  0.062,  50.19,  0.069, 347.38,  0.028, 322.31,  0.004, 236.31,  0.032, 338.20,  0.018, 119.36,  0.065,  78.52,  0.143,  91.20,  0.019,  38.66,  0.030, 348.31,  0.015,  90.00,  0.105, 204.13,-99.000, -99.00,
8/23/2008 05:00:00, 11.8,165.8,  5.2, -0.8, 16.655, 29.35,  0.0,  0.0,  0.020, 275.71,  0.108,  39.74,  0.057, 335.22,  0.045,  44.09,  0.031, 168.69,  0.051, 122.12,  0.083,  81.67,  0.080,  50.56,  0.080,  29.12,  0.061,  65.94,  0.063, 130.50,  0.078, 145.49,  0.081, 126.44,  0.150, 197.47,-99.000, -99.00,
8/23/2008 06:00:00, 11.8,165.8,  5.2, -0.8, 16.632, 29.34,  0.0,  0.0,  0.038, 286.99,  0.019, 353.99,  0.027, 184.24,  0.059,  19.65,  0.060, 198.43,  0.078, 151.80,  0.107, 127.41,  0.097, 203.66,  0.099, 201.91,  0.045, 224.09,  0.023,   4.97,  0.017,  17.35,  0.032, 273.58,  0.152, 223.14,-99.000, -99.00,
8/23/2008 07:00:00, 11.8,165.8,  5.2, -0.8, 16.643, 29.31,  0.0,  0.0,  0.041, 129.09,  0.034, 252.65,  0.008,  82.87,  0.047, 155.06,  0.054, 207.51,  0.059, 191.69,  0.043, 181.33,  0.047, 147.99,  0.062, 127.79,  0.033, 131.35,  0.053,  66.80,  0.053,  68.81,  0.044,  93.90,  0.119, 236.98,-99.000, -99.00,
8/23/2008 08:00:00, 11.8,165.7,  5.2, -0.7, 16.653, 29.33,  0.0,  0.0,  0.059, 125.31,  0.034,  65.70,  0.102,  59.42,  0.087, 331.07,  0.092, 318.52,  0.059, 326.85,  0.058, 355.07,  0.014, 335.22,  0.026, 202.62,  0.056, 163.50,  0.019, 191.89,  0.032, 172.87,  0.065, 163.81,  0.170, 217.82,-99.000, -99.00,
8/23/2008 09:00:00, 11.8,165.9,  5.2, -0.8, 16.699, 29.28,  0.0,  0.0,  0.121,  43.99,  0.058,  33.69,  0.035,  10.01,  0.080,  15.95,  0.023, 142.13,  0.069, 356.68,  0.029,  80.22,  0.027, 126.03,  0.062, 176.31,  0.083, 158.71,  0.048, 150.26,  0.039, 191.89,  0.041, 192.68,  0.182, 212.64,-99.000, -99.00,
8/23/2008 10:00:00, 11.8,165.8,  5.2, -0.7, 16.746, 29.30,  0.0,  0.0,  0.021,   0.00,  0.044, 108.43,  0.044, 107.20,  0.022,  69.15,  0.037, 341.08,  0.070,  40.96,  0.051, 119.05,  0.025, 130.10,  0.008,  60.26,  0.029,  82.15,  0.052,  76.76,  0.031,  90.00,  0.053, 145.71,  0.131, 225.31,-99.000, -99.00,
8/23/2008 11:00:00, 11.8,165.9,  5.2, -0.7, 16.806, 29.35,  0.0,  0.0,  0.077, 266.28,  0.045, 243.43,  0.084,  42.59,  0.022, 213.69,  0.026, 155.38,  0.082, 143.41,  0.013,   0.00,  0.069, 323.79,  0.026, 330.52,  0.041, 254.25,  0.068, 244.57,  0.065, 220.60,  0.029, 229.18,  0.130, 228.73,-99.000, -99.00,
8/23/2008 12:00:00, 11.8,165.9,  5.2, -0.8, 16.864, 29.34,  0.0,  0.0,  0.045, 128.66,  0.049,  80.54,  0.023, 199.98,  0.099,  23.73,  0.051,  84.40,  0.055, 305.42,  0.041, 201.54,  0.047, 234.61,  0.008, 345.96,  0.052,  48.92,  0.069, 313.23,  0.034, 285.26,  0.047, 243.43,  0.117, 221.88,-99.000, -99.00,
