DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),
1/15/2016 01:00:00, 11.9,114.2,-11.7,  0.5, 20.078, 27.14,  0.0,  0.0,  0.087, 310.31,  0.102, 250.50,  0.096, 301.37,  0.105, 307.64,  0.084, 288.65,  0.085, 280.12,  0.050, 319.90,  0.142,  52.73,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/15/2016 02:00:00, 11.9,114.2,-11.7,  0.5, 20.087, 27.12,  0.0,  0.0,  0.096, 308.66,  0.113, 293.40,  0.131, 306.61,  0.146, 310.01,  0.130, 288.43,  0.133, 299.64,  0.121, 307.25,  0.065, 341.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/15/2016 03:00:00, 11.9,114.1,-11.7,  0.4, 20.104, 27.11,  0.0,  0.0,  0.070, 304.59,  0.064, 315.00,  0.045, 357.46,  0.009, 302.01,  0.048, 309.04,  0.072, 333.43,  0.052, 315.78,  0.125, 359.54,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/15/2016 04:00:00, 11.9,114.2,-11.7,  0.5, 20.126, 27.06,  0.0,  0.0,  0.097, 315.42,  0.059, 329.53,  0.067, 291.96,  0.075, 264.67,  0.081, 328.07,  0.066, 313.15,  0.049, 323.37,  0.041, 111.54,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/15/2016 05:00:00, 11.9,114.2,-11.7,  0.4, 20.126, 27.06,  0.0,  0.0,  0.144, 337.90,  0.069, 336.04,  0.070, 288.43,  0.077, 297.90,  0.086, 330.17,  0.064, 292.96,  0.012, 355.24,  0.017,  64.98,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/15/2016 06:00:00, 11.9,114.2,-11.7,  0.5, 20.110, 27.01,  0.0,  0.0,  0.089,  22.52,  0.031,   0.00,  0.054,  91.06,  0.008, 219.81,  0.018, 260.54,  0.028, 235.18,  0.013, 231.34,  0.095,  58.31,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/15/2016 07:00:00, 11.9,114.2,-11.7,  0.4, 20.098, 26.99,  0.0,  0.0,  0.072,  88.41,  0.016, 255.07,  0.041, 308.00,  0.062, 339.23,  0.050, 223.36,  0.085, 295.96,  0.041, 306.03,  0.016, 217.57,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/15/2016 08:00:00, 11.9,114.2,-11.7,  0.4, 20.088, 26.98,  0.0,  0.0,  0.030, 293.20,  0.013, 288.43,  0.020,  59.53,  0.018, 209.36,  0.017, 190.01,  0.045,  20.85,  0.027,  90.00,  0.124,  90.92,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/15/2016 09:00:00, 11.9,114.2,-11.7,  0.4, 20.089, 26.95,  0.0,  0.0,  0.058,  32.32,  0.048, 117.10,  0.042, 108.00,  0.059, 158.20,  0.077,  63.77,  0.056, 262.87,  0.020, 147.09,  0.031, 234.25,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/15/2016 10:00:00, 11.9,114.2,-11.7,  0.5, 20.071, 26.90,  0.0,  0.0,  0.054,  52.50,  0.034, 163.14,  0.029, 226.40,  0.041,  94.18,  0.061, 106.07,  0.112, 129.54,  0.137, 138.85,  0.124, 118.43,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
